dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,gradient_boosting   ,0.8011363636363636 ,0.36363636363636365  ,0.37037037037037035 ,0.35714285714285715  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,svm                 ,0.8295454545454546 ,-1.0                 ,0.0                 ,0.0                  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,random_forest       ,0.8183050847457627 ,0.39435028248587567  ,0.43300248138957814 ,0.3620331950207469   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,knn                 ,0.8147457627118644 ,0.37147786083956297  ,0.417312661498708   ,0.33471502590673574  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,tree                ,0.8249152542372882 ,0.4173716864072194   ,0.4378698224852071  ,0.39870689655172414  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,naive_bayes         ,0.7933898305084746 ,0.5610370903853079   ,0.42108108108108105 ,0.8403451995685005   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,logistic_regression ,0.8540677966101695 ,0.5348460291734197   ,0.545755237045204   ,0.524364406779661    ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,neural_network      ,0.8252542372881356 ,0.3149501661129568   ,0.427797833935018   ,0.24921135646687698  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,gradient_boosting   ,0.8244067796610169 ,0.43263964950711936  ,0.45506912442396313 ,0.4123173277661795   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (10)        ,svm                 ,0.8235593220338983 ,0.10949529512403765  ,0.31840796019900497 ,0.06611570247933884  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
